title;mediaType;eps;startYr;finishYr;sznOfRelease;description;studios;tags
Xue Ying Ling Zhu 2nd Season;Web;4;2020;2020;;;[];Action,Fantasy,Ancient China,Chinese Animation,Based on a Novel,CG Animation
"Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero";DVD Special;1;2015;2015;;"Alternate episode 23 of Steins;Gate.";['WHITE FOX'];Sci Fi,Psychological,Thriller,Time Travel,Based on a Visual Novel
Gintama: Jump Festa 2015;Other;1;2015;2015;;The Gintama crew gets together to present a preview for the upcoming arc, the biggest ever in the anime's history, and also discuss the difficulties involved in producing one mid-season.;['BN Pictures'];Comedy,Sci Fi,Shounen,Aliens,Gag,Parody,Samurai,Shorts,Based on a Manga
Durarara!! X2 The Second Arc;TV;12;2015;2015;Summer;Ikebukuro, a city teeming with the most peculiar characters and the twisted schemes they indulge in—. In the aftermath of the assault against the information broker, signs of new disorder begin to develop like ripples across the water. Holding his own ideals, the young man who gains the powers of both the “Dollars” and the “Blue Squares” treads the path to total annihilation. Someone struggles to save their best friend while a psychopath creeps up on a popular idol. Slowly but surely a new threat gains power within the city’s shadows… ;['Shuka'];Action,Comedy,Gangs,Noir,Social Media,Supernatural,Based on a Light Novel
Bunny Drop Specials;DVD Special;4;2011;2012;;Rin and Daikichi continue their happy life together. The pair colors on fallen autumn leaves while learning about flounder, starfish, and other sea critters. Later, Daikichi does his best to make Christmas as wonderful as possible for Rin. For this new family, every season is full of happy memories.;['Production I.G'];Josei,Slice of Life,Childcare,Christmas,Single Parent,Based on a Manga
Mononoke;TV;12;2007;2007;Summer;"In feudal Japan, evil spirits known as mononoke plague both households and the countryside, leaving a trail of fear in their wake. One mysterious person has the power to slay the mononoke where they stand; he is known only as the Medicine Seller, and he vanquishes the mononoke using the power of his Exorcism Sword. However, in order to draw his sword he must first understand the Form, Truth and Reason of the mononoke. Armed with a sharp wit and keen intellect, the Medicine Seller wanders from place to place, striking down the mononoke in his wake.";['Toei Animation'];Horror,Abstract,Episodic,Japanese Mythology,noitaminA,Supernatural,Youkai
KonoSuba – God’s blessing on this wonderful world! 2 OVA;OVA;1;2017;2017;;After returning from Arcanretia and defeating one of the Devil King's generals, Hans, Kazuma is able to cash in the reward and live a stress-free life of luxurious laziness. One day, at the guild hall, he runs into a newbie adventurer named Ran who idolizes him for his exploits, and wants to shake his hand. While Kazuma smugly indulges his new fan, Luna, the guild's receptionist, assigns him a golem extermination quest. Not wanting to look bad in front of his admirer, Kazuma ends up accepting the task, and heads to the ruins with Aqua, Megumin, and Darkness in tow.;['Studio Deen'];Comedy,Fantasy,Gag,Gods,Guilds,Isekai,Magic,NEET,Non-Human Protagonists,Parody,Person in a Strange World,RPG,Based on a Light Novel
Mobile Suit Gundam 00;TV;25;2007;2008;Fall;In the 24th century, the planet's fossil fuels have been completely consumed, forcing humanity to use solar power as the primary source of energy. A huge solar energy system orbiting the planet was eventually built, anchored to the Earth and providing it with power through three orbital space elevators. As a result of the expense of such a large-scale project, most the world consolidated into three factions: the Union, the Human Reform League, and the AEU. Despite their common reliance on the fragile orbital elevators for energy, however, humanity still continues to constantly fight wars and build up arms. A paramilitary organization called Celestial Being, equipped with incredibly powerful mobile suits called Gundams, fight in order to force humanity to unite and eradicate armed conflict.;['Sunrise'];Action,Mecha,Sci Fi,Political,Rebellions,Terrorism,Original Work
JoJo's Bizarre Adventure: Phantom Blood;Movie;1;2007;2007;;This is the story of the Joestar family, and their battles against bizarre enemies. Jonathan Joestar's battle against the vampire Dio Brando starts it all, and it continues into roughly each second generation of Joestars through all parts of the story.;['Studio A.P.P.P.'];Action,Shounen,Supernatural,Based on a Manga
IDOLiSH7: Second BEAT!;TV;4;2020;;Spring;Second season of IDOLiSH7.;['TROYCA'];Drama,Idols,Music,Showbiz,Based on a Mobile Game
Magi: Adventure of Sinbad OVA;OVA;5;2014;2015;;The story takes place 30 years before the events of Magi. In this age will focus on the journey that Sinbad have to make to become king and many adventure more.;['Lay-duce'];Action,Adventure,Comedy,Fantasy,Shounen,Dungeon,Magic,Middle Eastern,Orphans,Overpowered Main Characters,Based on a Manga
Puella Magi Madoka Magica the Movie Part 1: Beginnings;Movie;1;2012;2012;;One day, a girl named Homura arrives at Mitakihara Middle School as a transfer student, mysteriously warning her classmate Madoka to stay just the way she is. But when Madoka and her best friend Miki are pulled into a twisted illusion world and meet a magical creature named Kyubey, the pair discovers that magical girls are real, and what's more, they can choose to become one. All they must do is sign a contract with Kyubey and agree to fight witches that spread despair to the human world, and in return they will be granted a single wish. However, as Homura's omen suggests, there's far more to becoming a magical girl than Madoka and Miki realize...;['Shaft'];Fantasy,Magical Girl,Contemporary Fantasy,Dark Fantasy,Henshin Heroes,Magic,Melancholy,Psychological,Recap,School Life,Thriller,Urban Fantasy
The Garden of Words;Movie;1;2013;2013;;When Takao decides to skip school one day in favor of sketching in a rainy garden, he has no idea how much his life will change when he encounters Yukino. Older, but perhaps not as much wiser, she seems adrift in the world. Despite the difference in their ages, they strike up an unusual relationship that always occur in the same garden on each rainy day. But the rainy season is coming to a close, and there are so many things still left unsaid and undone between them.;['CoMix Wave Films'];Drama,Romance,Age Gap,Loneliness,Melancholy,Original Work
Legend of the Galactic Heroes: Overture to a New War;Movie;1;1993;1993;;Having recently acquired the title of Count, Reinhard von Lohengramm is considered increasingly dangerous by the highest officials of the Galactic Empire. However, they cannot move directly against a man so favored of the Emperor, and he has proven his capacity in warfare. Thus, they intend to send him into a battle that they will ensure he cannot win. In the Free Planets Alliance, Wen-Li Yang's friend Jean Robert Lapp intends to propose marriage to their mutual acquaintance, Jessica Edwards. Wen-Li has only just returned home, but his respite will be all too brief: the Alliance soon hears of the intended Imperial invasion, and the man once more finds himself in a fleet headed for combat. The battle of Astate is about to commence...;['Magic Bus'];Drama,Sci Fi,Military,Outer Space,Political,Space Opera,War,Based on a Novel
Hozuki's Coolheadedness 2nd Season;TV;13;2017;2017;Fall;Hozuki and his hell-raising co-workers are back! As King Enma's demonic chief of staff continues to run the Japanese afterlife with his usual sadistic efficiency, the rest of Hell's denizens continue their wacky hijinks as they go about their hellish tasks each day. Whether they are renovating the palace of their retired queen using deceased souls as decorations, putting idols to work in their torture rooms as a press stunt or dealing with a riot in Children's Limbo, a day in Hell is never dull! Some new faces from Japanese folklore make an appearance and the secrets of Hozuki's origin are revealed.;['Studio Deen'];Comedy,Seinen,Afterlife,Coworkers,Dark Comedy,Demons,Episodic,Gag,Hell,Japanese Mythology,Non-Human Protagonists,Parody,Satire,Slapstick,Supernatural,Youkai,Based on a Manga
Honey and Clover II;TV;12;2006;2006;Summer;While Takemoto uncovers a path for himself, his love for Hagu is forcing him to lead a difficult college life. Takemoto, Hagu, and Morita are still trying to deal with their love triangle, and each of them must make a decision. Furthermore, Mayama must decide how to proceed with Rika, as she is leaving for Spain. The pain of love will continue to hurt many and even cause them to separate. Now, each of them must take on their chosen paths and walk towards the future.;['J.C. Staff'];Comedy,Drama,Josei,Romance,Art,Art School,College,Coming of Age,Love Triangle,noitaminA,School Life,Based on a Manga
